,Star,Paper,Identifier,T_eff,T_eff_err,logg,logg_err,atmosphere,mass,mass_err,RA,Dec,Gaia_designation,parallax,parallax_err,mixing_zone_mass,mag_field,mag_field_err,infrared_excess,gas_emission,binary,origin,comment,[H/H(e)],[H/H(e)]e,[He/H(e)],[He/H(e)]e,[Li/H(e)],[Li/H(e)]e,Acc_rate_Li_steady_state,Sinking_time_Li,mass_fraction_Li,[Be/H(e)],[Be/H(e)]e,Acc_rate_Be_steady_state,Sinking_time_Be,[C/H(e)],[C/H(e)]e,Acc_rate_C_steady_state,Sinking_time_C,mass_fraction_C,[N/H(e)],[N/H(e)]e,Acc_rate_N_steady_state,Sinking_time_N,mass_fraction_N,[O/H(e)],[O/H(e)]e,Acc_rate_O_steady_state,Acc_rate_O_increasing,Acc_rate_O_decreasing,Sinking_time_O,mass_fraction_O,[Na/H(e)],[Na/H(e)]e,Acc_rate_Na_steady_state,Acc_rate_Na_increasing,Acc_rate_Na_decreasing,Sinking_time_Na,mass_fraction_Na,[Mg/H(e)],[Mg/H(e)]e,Acc_rate_Mg_steady_state,Acc_rate_Mg_increasing,Acc_rate_Mg_decreasing,Sinking_time_Mg,mass_fraction_Mg,[Al/H(e)],[Al/H(e)]e,Acc_rate_Al_steady_state,Acc_rate_Al_increasing,Acc_rate_Al_decreasing,Sinking_time_Al,mass_fraction_Al,[Si/H(e)],[Si/H(e)]e,Acc_rate_Si_steady_state,Acc_rate_Si_increasing,Acc_rate_Si_decreasing,Sinking_time_Si,mass_fraction_Si,[P/H(e)],[P/H(e)]e,Acc_rate_P_steady_state,Sinking_time_P,mass_fraction_P,[S/H(e)],[S/H(e)]e,Acc_rate_S_steady_state,Sinking_time_S,mass_fraction_S,[Cl/H(e)],[Cl/H(e)]e,Acc_rate_Cl_steady_state,Sinking_time_Cl,mass_fraction_Cl,[Ar/H(e)],[Ar/H(e)]e,[K/H(e)],[K/H(e)]e,Acc_rate_K_steady_state,Sinking_time_K,[Ca/H(e)],[Ca/H(e)]e,Acc_rate_Ca_steady_state,Acc_rate_Ca_increasing,Acc_rate_Ca_decreasing,Sinking_time_Ca,mass_fraction_Ca,[Sc/H(e)],[Sc/H(e)]e,Acc_rate_Sc_steady_state,Sinking_time_Sc,mass_fraction_Sc,[Ti/H(e)],[Ti/H(e)]e,Acc_rate_Ti_steady_state,Acc_rate_Ti_increasing,Acc_rate_Ti_decreasing,Sinking_time_Ti,mass_fraction_Ti,[V/H(e)],[V/H(e)]e,Acc_rate_V_steady_state,Sinking_time_V,mass_fraction_V,[Cr/H(e)],[Cr/H(e)]e,Acc_rate_Cr_steady_state,Acc_rate_Cr_increasing,Acc_rate_Cr_decreasing,Sinking_time_Cr,mass_fraction_Cr,[Mn/H(e)],[Mn/H(e)]e,Acc_rate_Mn_steady_state,Acc_rate_Mn_increasing,Acc_rate_Mn_decreasing,Sinking_time_Mn,mass_fraction_Mn,[Fe/H(e)],[Fe/H(e)]e,Acc_rate_Fe_steady_state,Acc_rate_Fe_increasing,Acc_rate_Fe_decreasing,Sinking_time_Fe,mass_fraction_Fe,[Co/H(e)],[Co/H(e)]e,Acc_rate_Co_steady_state,Sinking_time_Co,mass_fraction_Co,[Ni/H(e)],[Ni/H(e)]e,Acc_rate_Ni_steady_state,Acc_rate_Ni_increasing,Acc_rate_Ni_decreasing,Sinking_time_Ni,mass_fraction_Ni,[Cu/H(e)],[Cu/H(e)]e,Acc_rate_Cu_steady_state,Sinking_time_Cu,mass_fraction_Cu,[Zn/H(e)],[Zn/H(e)]e,Acc_rate_Zn_steady_state,Sinking_time_Zn,[Ga/H(e)],[Ga/H(e)]e,Acc_rate_Ga_steady_state,Sinking_time_Ga,mass_fraction_Ga,[Ge/H(e)],[Ge/H(e)]e,Acc_rate_Ge_steady_state,Sinking_time_Ge,mass_fraction_Ge,[As/H(e)],[As/H(e)]e,[Se/H(e)],[Se/H(e)]e,[Sr/H(e)],[Sr/H(e)]e,Acc_rate_Sr_steady_state,Sinking_time_Sr,mass_fraction_Sr,[Sn/H(e)],[Sn/H(e)]e,[I/H(e)],[I/H(e)]e,[Ba/H(e)],[Ba/H(e)]e,Acc_rate_Total_steady_state,Acc_rate_Total_increasing,Acc_rate_Total_decreasing
879,SDSS J073217.01+274641.30,Genest-Beaulieu 2019,SDSS J073217.01+274641.30 Genest-Beaulieu 2019,14433,8.93,1.154,He,Gaia DR3 872428494859607680,113.070871809157,27.7782206464706,,https://ui.adsabs.harvard.edu/abs/2019ApJ...882..106G/abstract,-5.369,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,SDSS J080513.13+540615.6,Koester 2015,SDSS J080513.13+540615.6 Koester 2015,13799,8,,He,Gaia DR3 872428494859607680,113.070871809157,27.7782206464706,,https://ui.adsabs.harvard.edu/abs/2015A%26A...583A..86K/abstract,,-8.88,,0.32,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,SDSS J073334.19+372735.8,Coutu 2019,SDSS J073334.19+372735.8 Coutu 2019,7599,7.88,0.51,He,Gaia DR3 898724140071904640,113.392489177204,37.4599792517116,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-4.35,-10.84,-1,0.21,291,0.42,0.26,3.9682539683,0.9322247417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Gaia DR3 866574493091351936,Badenas-Agusti 2023,Gaia DR3 866574493091351936 Badenas-Agusti 2023,8533,8.0822,0.6275,He,Gaia DR3 866574493091351936,113.440785066093,23.2582485758096,,https://ui.adsabs.harvard.edu/abs/2023arXiv231019790B/abstract,-5.523,-11.0096,1.3583,0.0597,395,0.0907,0.0576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good Fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,SDSS J073416.91+444801.3,Coutu 2019,SDSS J073416.91+444801.3 Coutu 2019,13863,8.42,0.86,He,Gaia DR3 973522301201644416,113.570480093896,44.8003730424731,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-6.02,-9.34,-1,0.56,822,0.2,0.13,3.4662045061,0.4613596292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,SDSS J073416.92+444801.21,Genest-Beaulieu 2019,SDSS J073416.92+444801.21 Genest-Beaulieu 2019,15616,8.26,0.752,He,Gaia DR3 973522301201644416,113.570480093896,44.8003730424731,,https://ui.adsabs.harvard.edu/abs/2019ApJ...882..106G/abstract,-5.24,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,SDSS J080949.94+310642.0,Koester 2015,SDSS J080949.94+310642.0 Koester 2015,11782,8,,He,Gaia DR3 3168971869085459072,113.802827827965,16.6344721934033,,https://ui.adsabs.harvard.edu/abs/2015A%26A...583A..86K/abstract,-5.31,-9.69,0.31,0.26,135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,SDSS J073549.20+205720.9,Kepler 2015,SDSS J073549.20+205720.9 Kepler 2015,6124,8,,He,Gaia DR3 865261225234214784,113.95498179461,20.9558305649099,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.4078K/abstract,,-7.876,,0.028,220,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,J0736+4118,Caron 2023,J0736+4118 Caron 2023,4830,8.085,0.621,He,Gaia DR3 924478859922238720,114.14672729847,41.3079668123707,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,-5,-9.41,,,26,0.056,0.05,12.64895143,0.42711237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,SDSS J073635.22+411828.2,Coutu 2019,SDSS J073635.22+411828.2 Coutu 2019,4676,7.99,0.56,He,Gaia DR3 924478859922238720,114.14672729847,41.3079668123707,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3,-9.73,-1,0.24,70,0.11,0.07,12.4533001245,0.6048302676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,SDSS J073635.22+411828.2,Kepler 2015,SDSS J073635.22+411828.2 Kepler 2015,5000,8,,He,Gaia DR3 924478859922238720,114.14672729847,41.3079668123707,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.4078K/abstract,,-9.144,,1,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,SDSS J073737.20+154131.30,Genest-Beaulieu 2019,SDSS J073737.20+154131.30 Genest-Beaulieu 2019,14632,8.18,0.696,He,Gaia DR3 3165833214360606208,114.405052981115,15.6920972341173,,https://ui.adsabs.harvard.edu/abs/2019ApJ...882..106G/abstract,-5.95,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,WD 0735+388,Coutu 2019,WD 0735+388 Coutu 2019,10280,8.11,0.65,He,Gaia DR3 899277915974764032,114.649908994514,38.7439446963351,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-4.78,-7.27,0.51,0.21,279,0.24,0.16,3.3277870216,0.5027671573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,SDSSJ073835.97+384438.2,Dufour 2007,SDSSJ073835.97+384438.2 Dufour 2007,9530,,,He,Gaia DR3 899277915974764032,114.649908994514,38.7439446963351,,https://ui.adsabs.harvard.edu/abs/2007ApJ...663.1291D/abstract,-4.42,-8.36,0.35,0.13,360,,,3.276793764,0.4017292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,SDSS J073842.57+183509.60,Genest-Beaulieu 2019,SDSS J073842.57+183509.60 Genest-Beaulieu 2019,15213,7.8,0.482,He,Gaia DR3 671450448046315520,114.677359221899,18.5860314476262,,https://ui.adsabs.harvard.edu/abs/2019ApJ...882..106G/abstract,-5.889,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,SDSS J230620.01+211118.5,Koester 2015,SDSS J230620.01+211118.5 Koester 2015,15052,8,,He,Gaia DR3 671450448046315520,114.677359221899,18.5860314476262,,https://ui.adsabs.harvard.edu/abs/2015A%26A...583A..86K/abstract,-5.17,-7.19,0.57,0.58,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,SDSS J073957.64+302439.8,Coutu 2019,SDSS J073957.64+302439.8 Coutu 2019,7106,8,,He,,114.99017,30.41108,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3.96,-9.75,-1,0.32,624,,,2.3380874445,0.3066792276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,SDSS J073957.64+302439.8,Kepler 2015,SDSS J073957.64+302439.8 Kepler 2015,10519,8,,He,,114.99017,30.41108,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.4078K/abstract,,-7.586,,0.31,344,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,J0740-1724,Caron 2023,J0740-1724 Caron 2023,7461,7.976,0.561,He,Gaia DR3 5717278911884258176,115.086619448363,-17.4136546854397,"wide, MS (M-dwarf), Gaia DR3 5717278911884264576",https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,-3,-10.94,,,145,0.026,0.022,109.344,0.0181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,GJ 283 A,Coutu 2019,GJ 283 A Coutu 2019,7545,7.99,0.57,He,Gaia DR3 5717278911884258176,115.086619448363,-17.4136546854397,"wide, MS (M-dwarf), Gaia DR3 5717278911884264576",https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3.38,-10.93,0.04,0.05,587,0.16,0.1,108.6956521739,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,WD0738-172,Dufour 2007,WD0738-172 Dufour 2007,7590,8.07,0.62,He,Gaia DR3 5717278911884258176,115.086619448363,-17.4136546854397,"wide, MS (M-dwarf), Gaia DR3 5717278911884264576",https://ui.adsabs.harvard.edu/abs/2007ApJ...663.1291D/abstract,-3.41,-10.91,0.03,0.03,220,0.03,0.02,109.344,0.0181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,WD 0738-172,Subasavage 2017,WD 0738-172 Subasavage 2017,7700,8.05,0.61,He,Gaia DR3 5717278911884258176,115.086619448363,-17.4136546854397,"wide, MS (M-dwarf), Gaia DR3 5717278911884264576",https://ui.adsabs.harvard.edu/abs/2017AJ....154...32S/abstract,-3.5,-10.99,,,210,0.03,0.03,109.344,0.0181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,L745-46A,Wegner 1972,L745-46A Wegner 1972,7800,8.1,,He,Gaia DR3 5717278911884258176,115.086619448363,-17.4136546854397,"wide, MS (M-dwarf), Gaia DR3 5717278911884264576",https://ui.adsabs.harvard.edu/abs/1973MNRAS.163..381W/abstract,,-10.4,,0,,,,62.9109,0.0143,-9.4,-9.4,-1,-1,,,-9,,-1,,,,,-11,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,SDSS J082019.50+253035.1,Koester 2015,SDSS J082019.50+253035.1 Koester 2015,13130,8,,He,Gaia DR3 878315005236892416,115.336451180592,28.2126732926115,,https://ui.adsabs.harvard.edu/abs/2015A%26A...583A..86K/abstract,-5.36,-7.05,0.14,0.13,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,SDSS J074122.94+482925.9,Coutu 2019,SDSS J074122.94+482925.9 Coutu 2019,6741,8.34,0.8,He,Gaia DR3 981804273754844544,115.345622742148,48.4905689843311,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3.32,-10.59,-1,0.15,217,0.2,0.14,5.7175528874,0.7747627412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,SDSS J074122.94+482925.9,Kepler 2015,SDSS J074122.94+482925.9 Kepler 2015,7101,8,,He,Gaia DR3 981804273754844544,115.345622742148,48.4905689843311,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.4078K/abstract,,-10.356,,0.056,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,SDSS J074153.45+314620.4,Coutu 2019,SDSS J074153.45+314620.4 Coutu 2019,6065,8.29,0.76,He,Gaia DR3 880328657704678016,115.472600784645,31.7723165179261,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3,-8.63,-1,0.12,113,0.2,0.13,6.4724919094,0.8588096061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,SDSS J074226.82+242229.0,Coutu 2019,SDSS J074226.82+242229.0 Coutu 2019,7106,8,,He,,115.61175,24.37472,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3.96,-10.13,-1,0.27,469,,,3.008423586,0.3013853954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,SDSS J074226.82+242229.0,Kepler 2015,SDSS J074226.82+242229.0 Kepler 2015,8027,8,,He,,115.61175,24.37472,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.4078K/abstract,,-8.952,,0.262,315,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,GALEX 2419490867580507837,Coutu 2019,GALEX 2419490867580507837 Coutu 2019,12303,7.72,0.44,He,Gaia DR3 924315311863541248,115.949234041192,42.6731130169173,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-6.14,-8.45,-1,0.86,728,0.63,0.37,1.9542700801,0.6572794231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,SDSS J074347.83+424023.30,Genest-Beaulieu 2019,SDSS J074347.83+424023.30 Genest-Beaulieu 2019,16667,9.43,1.333,He,Gaia DR3 924315311863541248,115.949234041192,42.6731130169173,,https://ui.adsabs.harvard.edu/abs/2019ApJ...882..106G/abstract,-5.21,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,J0744+4649,Caron 2023,J0744+4649 Caron 2023,4830,7.992,0.564,He,Gaia DR3 927618687178189056,116.061013345548,46.8201782765962,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,-4,-9.15,,,16,0.02,0.017,18.24971535,0.20375173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,SDSS J074414.66+464912.5,Coutu 2019,SDSS J074414.66+464912.5 Coutu 2019,5045,8.15,0.66,He,Gaia DR3 927618687178189056,116.061013345548,46.8201782765962,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3,-8.25,-1,0.03,61,0.05,0.03,17.8571428571,0.2869897959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,SDSS J074414.66+464912.5,Kepler 2015,SDSS J074414.66+464912.5 Kepler 2015,5000,8,,He,Gaia DR3 927618687178189056,116.061013345548,46.8201782765962,,https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.4078K/abstract,,-8.93,,1,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,SDSS J074444.03+440845.6,Coutu 2019,SDSS J074444.03+440845.6 Coutu 2019,6655,8,,He,,116.1835,44.14603,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,-3.57,-8.69,-1,0.24,246,,,3.223726628,0.2182406808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
